name,sponsor,counties,amount_min,amount_max,deadline,beneficiary_scope,listed_on_n_sources,breadth,duplicate_listings,source_urls
Fort Lauderdale Alumnae Panhellenic Scholarship,Fort Lauderdale Alumnae Panhellenic,Broward,0,0,2026-04-30,open,1,hyperlocal,1,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Future Lawyers Scholarship,DRRT,"Miami-Dade,Broward",5000,15000,2026-03-15,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Garcia Perseverance Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Garcia Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
George Snow High School Scholarships,George Snow Scholarship Fund,"Broward,Palm Beach",0,0,2026-02-01,open,1,hyperlocal,1,https://scholarship.org/scholarships/
Give Kids A Chance Scholarship,"Brian McDonough, Esq.",Miami-Dade,0,0,2026-03-15,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Grant and Bridget Daugherty Nursing Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Haitian Excellence in Business & Education Scholarship,Haitian Excellence in Business & Education,Palm Beach,0,0,,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
High-Achieving 'HALI' Four-Year Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
James Captain Memorial Summer Camp Tuition Scholarship,Coral Gables Community Foundation,Miami-Dade,0,0,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Jeannett Slesnick Community Spirit Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Judge Sidney M. Aronovitz Memorial Scholarship,Aronovitz Family,Miami-Dade,0,0,2026-03-15,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Julian Perez Memorial Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Kantner Foundation Scholarship,Kantner Foundation,Palm Beach,2000,3000,2026-06-30,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Kerdyk Family Trust Music Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Kozyak Summer Fellowship Fund,Kozyak Minority Mentoring Foundation,Miami-Dade,5000,5000,2026-03-15,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Lady Suzanna P. Tweed Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Liberty Square/Lincoln Gardens Student Scholarship Fund,The Related Group,Miami-Dade,0,0,2026-05-24,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Luke Sturgill Memorial Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Mary Houliston MacDonald Scholarship for Women,Community Foundation of Broward,Broward,0,0,,open,1,hyperlocal,1,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Mitchell Zuniga Football Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Ortega Foundation Scholarship,Ortega Foundation,Miami-Dade,0,0,2026-03-29,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
PBC Friends of Youth Services Nursing Scholarship,Palm Beach County Friends of Youth Services,Palm Beach,4500,9000,2026-06-01,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
PBSC Green & Gold Scholarship,Palm Beach State College,Palm Beach,3000,3000,,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
PBSC Presidential Honors Scholarship,Palm Beach State College,Palm Beach,6000,6000,,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Principal Ralph V. Moore Jr. Scholarship for Cavalier Excellence,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
RCG Fain Scholarship,Royal Caribbean Group,Miami-Dade,0,0,,employees_only,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Ralph H. and Ruth Frank Gross Memorial Scholarship,Community Foundation of Broward,Broward,0,0,,open,1,hyperlocal,1,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Raymond Bravo Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Robert & Marian Fewell Memorial Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Rotary Foundation of Coral Gables Scholarship Fund,Rotary Club of Coral Gables,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Shine Bright Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
South Florida Business Aviation Association Scholarship,South Florida Business Aviation Association,Palm Beach,0,0,2026-08-14,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Stamps Family Scholarship,Stamps Foundation,Miami-Dade,20000,20000,2026-03-20,nomination_only,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Tripp Family Fund for Educational Opportunity,Norman Tripp family,Broward,0,0,,open,1,hyperlocal,1,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Venture Miami Scholarship (Creative Hub),The Miami Foundation,Miami-Dade,0,0,2026-07-05,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Walter & Alma Vogel Memorial Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
