name,sponsor,county,amount,deadline,eligibility,apply_via,platform,essay,on_national_dbs,notes
Venice-Nokomis Rotary Scholarships,Venice-Nokomis Rotary Foundation,Sarasota,not published,not published,South Sarasota County students; traditional and non-traditional,download and mail,paper/mail,likely,No,Mail to 229 Nokomis Ave S
Venice Lions Club Scholarship,Venice Lions Club Foundation,Sarasota,not published,not published,college or vocational-bound Venice-area students,phone/email contact,none,unclear,No,$1.3M foundation assets; no online portal
Florida Elks HOPE Scholarship,Florida State Elks Association,Both,$1000-$7500,Jan 15 2027 (opens Aug 1),"FL HS senior; 2.30-3.59 unweighted GPA",online,floridaelks.org,Yes,No,Local lodges: Bradenton 1511 / Lakewood Ranch-Sarasota 2855
Florida Elks Most Valuable Student,Florida State Elks Association,Both,$1000-$7500/yr,varies,4-year degree full-time,online,elks.org/scholars,Yes,Partially,National Elks program
Optimist International Essay Contest,local Optimist Clubs,Both,$2500 district,~Feb 28,under 19; not finished secondary school,submit through local club,paper/club,Yes,Partially,Essay IS the entry
Suncoast Credit Union Scholars Program,Suncoast Credit Union Foundation,Both,up to $3000,Feb 15 (opens Dec 1),HS seniors in service counties; need + merit,online,suncoast.com,likely,No,
Achieva Credit Union Foundation Scholarship,Achieva Credit Union Foundation,Both,varies,~Mar 21,local students; need-based,online,achievacu.com,likely,No,$87000 total across 28 awards
RASM REALTORS Charitable Foundation Scholarship,Realtor Association of Sarasota and Manatee,Both,$2000,late March,"Sarasota/Manatee student; half reserved for member families",online,myrasm.com,likely,No,19-22 awarded/yr; $38000 in 2026
Lloyd Williams Memorial Scholarship,Manatee-Sarasota Building Industry Association,Both,not published,Mar 1,"building construction/trades study",Manatee CF portal,AwardSpring,likely,No,
SCBA Diversity Law School Scholarship,Sarasota County Bar Association,Sarasota,not published,~Sept 1,minority law school students,online,sarasotabar.com,likely,No,$130K+ awarded since 2007
Sarasota County Medical Society Foundation Scholarship,Sarasota County Medical Society Foundation,Sarasota,not published,not published,med students returning to practice in Sarasota County,direct contact,none,unclear,No,941-966-3134
Sarasota Medical Alliance Foundation Scholarship,Sarasota Medical Alliance Foundation,Sarasota,varies,not published,aspiring health professionals,online,donate-smaf.org,likely,No,$75000+ awarded total
Anna Maria Island Chamber Scholarship,AMI Chamber of Commerce,Manatee,$1000,spring,Manatee County graduating seniors,chamber form,direct,likely,No,3-4 awarded/yr
JLMC Youth Non-Profit Scholarship,Junior League of Manatee County,Manatee,$1000,spring,"female HS senior; Manatee resident; 3.0+ GPA; service focus",online,manateecounty.jl.org,likely,No,Awarded at April Fashion Show
Zonta Club of Sarasota Scholarships,Zonta Club of Sarasota,Sarasota,not published,not published,women pursuing education,online,zontasarasota.org,likely,No,Feeds Zonta International STEM/Business awards
Sarasota Business Exchange Club Scholarship,Sarasota Business Exchange Club,Sarasota,not published,not published,local HS students,online,srqbusinessexchange.org,likely,No,~$30K awarded since 2014
Woman's Exchange Grants and Scholarships,The Woman's Exchange Sarasota,Sarasota,varies,not published,arts-related study,online,sarasotawex.com,likely,No,27 students in 2026; $500K arts/grants pool
Sarasota Garden Club Natural Science Scholarship,Sarasota Garden Club,Sarasota,not published,not published,"Sarasota HS senior or college sophomore+; natural sciences",online,sarasotagardenclub.org,likely,No,30+ year program
Manatee River Garden Club Scholarship,Manatee River Garden Club,Manatee,$1000 x2,May,horticulture/landscape/agriculture study,direct contact,none,likely,No,
Founders Garden Club of Sarasota Scholarship,Founders Garden Club of Sarasota,Sarasota,$4000,not published,"junior/senior/grad; FL school; botany/horticulture/ecology/marine bio",online,foundersgcsarasota.org,likely,No,
Venice Area Historical Society Scholarship,Venice Area Historical Society,Sarasota,$2500,not published,"Venice HS senior; academics/leadership/service",via Rotary Futures + interview,Rotary Futures SSMS,likely,No,Committee interview required
Manatee County Historical Society Scholarship,Manatee County Historical Society,Manatee,not published,not published,Manatee County HS senior,direct contact,none,unclear,No,
UnidosNow Scholarship Dashboard,UnidosNow,Both,varies,rolling,"Hispanic/Latinx; first-gen/low-income; Sarasota & Manatee",online dashboard,unidosnow.org,varies,No,Also an aggregator itself
PGT Innovations Inspire the Future Scholarship,PGT Innovations,Sarasota,$1000/yr,not published,dependents of PGT team members,internal HR,employer,unclear,No,Employer scholarship; North Venice
G Duncan Finlay Health Career Scholarship,Sarasota Memorial Healthcare Foundation,Sarasota,not published,not published,HS students pursuing healthcare careers,online,smhf.org,likely,No,
Heather G Miller Health Care Scholarship,Sarasota Memorial Healthcare Foundation,Sarasota,not published,not published,HS students pursuing healthcare careers,online,smhf.org,likely,No,
USF Sarasota-Manatee Scholars Fund,Manatee Memorial Foundation,Both,not published,not published,"USF SM health science major; 3.0 GPA; 6+ credits",USF financial aid office,institutional,likely,No,
SCF Nursing and Health Science Scholarships,Manatee Memorial Foundation,Manatee,up to $5000,not published,"SCF nursing/health science; Manatee resident",online,Blackbaud AcademicWorks,likely,No,scf.academicworks.com
Manatee Memorial Hospital Auxiliary Scholarship,Manatee Memorial Hospital Auxiliary,Manatee,not published,not published,SCF health-program students,online,Blackbaud AcademicWorks,likely,No,scf.academicworks.com
