name,sponsor,hub,counties,amount_min,amount_max,deadline,gpa_min,eligibility_raw,beneficiary_scope,platform,source_url
Kerdyk Family Trust Music Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables resident or student at a school in Coral Gables; music,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Principal Ralph V. Moore Jr. Scholarship for Cavalier Excellence,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Julian Perez Memorial Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Dave Ragan Jr. Memorial Golf Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,golf,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Mitchell Zuniga Football Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,football,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Rotary Foundation of Coral Gables Scholarship Fund,Rotary Club of Coral Gables,CGCF,Miami-Dade,1000,20000,,,leadership,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Shine Bright Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,leadership,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Jeannett Slesnick Community Spirit Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,leadership; communications,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Lady Suzanna P. Tweed Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,leadership,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Luke Sturgill Memorial Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,vocational/technical,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Walter & Alma Vogel Memorial Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,music; science/technology,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Erickson Zoellers Engineering Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,engineering,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Raymond Bravo Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Any MDCPS high school,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Coco Plum Woman's Club Scholarship in Memory of Max Gruver,Coco Plum Woman's Club,CGCF,Miami-Dade,1000,20000,,,Coral Gables area,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
First-Generation Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,first-generation college students,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Stamps Family Scholarship,Stamps Foundation,CGCF,Miami-Dade,20000,20000,2026-03-20,,Selected Miami-Dade public and private schools; principal or CAP advisor invitation,nomination_only,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Chifles 'Beyond the Bag' Employee Scholarship,Plantain Products Company (Chifles),CGCF,Miami-Dade,0,25000,2026-01-02,,Children/minor dependents of Chifles employees,employees_only,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
RCG Fain Scholarship,Royal Caribbean Group,CGCF,Miami-Dade,0,0,,,Royal Caribbean Group employees,employees_only,own website,https://gablesfoundation.org/scholarships/
Ev Clay / PRSA Miami Chapter Endowment Scholarship,PRSA Miami Chapter,CGCF,Miami-Dade,0,0,,,South Florida public relations students,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
James Captain Memorial Summer Camp Tuition Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,0,0,,,Elementary students in Coral Gables/Coconut Grove,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Venture Miami Scholarship (Creative Hub),The Miami Foundation,TMF,Miami-Dade,0,0,2026-07-05,,City of Miami residents accepted to Creative Hub Academy,open,own portal,https://miamifoundation.org/scholarships/
College Assistance Program (CAP) Scholarship,The Miami Foundation / CAP Inc.,TMF,Miami-Dade,0,0,2026-05-24,,MDCPS graduates with unmet financial need after all other aid,open,own portal,https://miamifoundation.org/scholarships/
Ortega Foundation Scholarship,Ortega Foundation,TMF,Miami-Dade,0,0,2026-03-29,3.5,Miami-Dade County high school seniors,open,own portal,https://miamifoundation.org/scholarships/
Alan R. Epstein 'Reach For The Stars' Scholarship,Epstein family,TMF,Miami-Dade,0,0,2026-04-05,,Miami-Dade seniors who have overcome significant adversity,open,own portal,https://miamifoundation.org/scholarships/
Future Lawyers Scholarship,DRRT,TMF,"Miami-Dade,Broward",5000,15000,2026-03-15,,Miami-Dade or Broward resident admitted to an ABA-accredited law school,open,own portal,https://miamifoundation.org/scholarships/
Give Kids A Chance Scholarship,"Brian McDonough, Esq.",TMF,Miami-Dade,0,0,2026-03-15,,Florida high school seniors from lower-income families,open,own portal,https://miamifoundation.org/scholarships/
Judge Sidney M. Aronovitz Memorial Scholarship,Aronovitz Family,TMF,Miami-Dade,0,0,2026-03-15,,Miami-Dade minority students pursuing law or social justice,open,own portal,https://miamifoundation.org/scholarships/
Kozyak Summer Fellowship Fund,Kozyak Minority Mentoring Foundation,TMF,Miami-Dade,5000,5000,2026-03-15,,Minority and first-generation law students at FL schools or FL residents; 10-12 fellowships in 2026,open,own portal,https://miamifoundation.org/scholarships/
Liberty Square/Lincoln Gardens Student Scholarship Fund,The Related Group,TMF,Miami-Dade,0,0,2026-05-24,,Residents of Liberty Square or Lincoln Gardens,open,own portal,https://miamifoundation.org/scholarships/
Fort Lauderdale Alumnae Panhellenic Scholarship,Fort Lauderdale Alumnae Panhellenic,CFB,Broward,0,0,2026-04-30,,Young women with strong academics and service,open,own portal,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Ralph H. and Ruth Frank Gross Memorial Scholarship,Community Foundation of Broward,CFB,Broward,0,0,,,Government employees and their families,open,own portal,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Mary Houliston MacDonald Scholarship for Women,Community Foundation of Broward,CFB,Broward,0,0,,,"Women who are divorced, widowed or abandoned by their husbands",open,own portal,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
Tripp Family Fund for Educational Opportunity,Norman Tripp family,CFB,Broward,0,0,,,Women transferring from Broward College to FAU,open,own portal,https://www.cfbroward.org/receive/community-foundation-administered-scholarships
George Snow High School Scholarships,George Snow Scholarship Fund,SNOW,"Broward,Palm Beach",0,0,2026-02-01,,Seniors attending a Palm Beach or Broward County high school; financial need; NO minimum GPA; any accredited school; any major; home-schooled students zoned for a PBC/Broward high school qualify,open,own portal,https://scholarship.org/scholarships/
Community Foundation for Palm Beach and Martin Counties Scholarships,Community Foundation for Palm Beach and Martin Counties,CFPBMC,Palm Beach,0,0,2026-03-04,2.0,Graduating senior in Palm Beach or Martin County; US citizen or permanent resident; one application matched to 120+ funds,open,own portal,https://yourcommunityfoundation.org/scholarship-seekers/
Adele Marie Bradley Scholarship,Adele Marie Bradley Fund,,Palm Beach,3000,3000,2026-05-30,3.5,Seniors; merit plus essay on persevering through adversity,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Charles O'Meilia Scholarship,Charles O'Meilia Fund,,Palm Beach,1000,1000,2026-05-31,,"Palm Beach County resident majoring in architecture, engineering, construction or public service",open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
PBC Friends of Youth Services Nursing Scholarship,Palm Beach County Friends of Youth Services,,Palm Beach,4500,9000,2026-06-01,,"Palm Beach County resident pursuing a nursing program; $4,500/yr for two years",open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Caden Ingram Foundation Scholarship,Caden Ingram Foundation,,Palm Beach,0,0,2026-06-01,,Service related; awareness of substances and societal problems,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Kantner Foundation Scholarship,Kantner Foundation,,Palm Beach,2000,3000,2026-06-30,,"Florida resident seniors; academics, leadership and entrepreneurship",open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Dave Davis Memorial Scholarship,Dave Davis Memorial Fund,,Palm Beach,0,0,2026-08-14,3.0,Palm Beach County senior; 300 service hours in one area; full-time college; leadership,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
South Florida Business Aviation Association Scholarship,South Florida Business Aviation Association,,Palm Beach,0,0,2026-08-14,3.0,Palm Beach County senior attending an aviation-focused college; aviation career,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
PBSC Presidential Honors Scholarship,Palm Beach State College,,Palm Beach,6000,6000,,3.5,Seniors only; college-ready scores; honors track,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
PBSC Green & Gold Scholarship,Palm Beach State College,,Palm Beach,3000,3000,,3.2,Graduating seniors only; college-ready scores,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Finish4Free Scholarship,Palm Beach State College,,Palm Beach,0,0,,,Seniors with 30+ dual-enrollment credits; full tuition to complete an AA,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Dual2Degree Scholarship,Palm Beach State College,,Palm Beach,0,0,,3.0,Seniors who completed dual enrollment and a FAFSA,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Haitian Excellence in Business & Education Scholarship,Haitian Excellence in Business & Education,,Palm Beach,0,0,,,Essay; pursuing business or education,open,,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
