status,org,url,snapshots,latest,action,chars
robots,Cv Americas Inc,https://www.cvclavoz.com,8,20260129,AVAILABLE - not fetched (robots),0
robots,Pulte Family Charitable Foundation Inc,https://www.pultefamilyfoundation.org,8,20251001,AVAILABLE - not fetched (robots),0
robots,The Batchelor Foundation Inc,https://tbfinc.org,8,20251108,AVAILABLE - not fetched (robots),0
robots,The Mary Alice Fortin Foundation,https://mafortinfoundation.org,8,20250612,AVAILABLE - not fetched (robots),0
robots,Scaife Family Foundation,https://www.scaifefamily.org,8,20251030,AVAILABLE - not fetched (robots),0
robots,Dr John T Macdonald Foundation Inc,https://www.jtmacdonaldfdn.org,0,,not archived,0
robots,Bbx Capital Foundation Inc,https://bbxcapital.com/ABOUT-US/BBX-CAPITAL-FOUNDATIO,0,,not archived,0
robots,Floyd L Wray Memorial Foundation,https://www.flamingogardens.org,0,,not archived,0
robots,Broward College Foundation Inc,https://www.browardcollegefoundation.org,8,20251010,AVAILABLE - not fetched (robots),0
robots,Nicklaus Childrens Health Care Foundation,https://www.nchcf.org,0,,not archived,0
robots,Wiener Museum Of Decorative Arts Inc,https://www.wmoda.com,0,,not archived,0
robots,El Espacio 23 Inc,https://www.elespacio23.com,0,,not archived,0
robots,Gamma Mu Foundation Inc,https://www.gammamufoundation.org,0,,not archived,0
robots,Nicks Kids Foundation Inc,https://www.nickskidsfoundation.org,0,,not archived,0
robots,Florida Panthers Foundation Inc,https://www.nhl.com/COMMUNITY/PANTHERS/FOUNDATION,0,,not archived,0
robots,Admirals Cove Foundation Inc,https://www.admiralscovefoundation.org,0,,not archived,0
robots,Mater Academy Foundation Inc,https://guidestar.org,0,,not archived,0
robots,Alternative Education Foundation Inc,https://alternativeeducationfoundation.org,8,20240420,AVAILABLE - not fetched (robots),0
robots,Miami Heart Research Institute Inc,https://www.floridaheart.org,8,20230205,AVAILABLE - not fetched (robots),0
robots,Closehaul Capital Charitable,https://www.closehaulcharitable.org,0,,not archived,0
robots,Miami Jackson Senior High,https://jacksonshs.org/apps/pages/index.jsp?uREC_ID=279137&type=d,0,,not archived,0
robots,Cutler Bay Senior High,https://www.cutlerbayhigh.org/apps/pages/index.jsp?uREC_ID=280151&type=d,6,20160219,AVAILABLE - not fetched (robots),0
robots,G. Holmes Braddock Senior High,https://www.braddockbulldogs.org/apps/pages/index.jsp?uREC_ID=324425&type=d&pREC_ID=681269,0,,not archived,0
robots,John A. Ferguson Senior High,https://www.fergusonhs.org/apps/pages/index.jsp?uREC_ID=249989&type=d,0,,not archived,0
robots,Miami Northwestern Senior High,https://www.northwesternbulls.org/apps/pages/index.jsp?uREC_ID=294296&type=d,0,,not archived,0
robots,Miami Norland Senior High,https://www.miaminorlandshs.org/apps/pages/index.jsp?uREC_ID=318382&type=d,8,20250713,AVAILABLE - not fetched (robots),0
robots,Hialeah Senior High,https://www.hialeahhigh.org/apps/pages/?uREC_ID=123043&type=d&pREC_ID=243238,0,,not archived,0
robots,Hialeah-Miami Lakes Senior High,https://www.hmltrojans.org/apps/pages/index.jsp?uREC_ID=264903&type=d,0,,not archived,0
robots,Hialeah Gardens High,https://www.hghsgladiators.com/apps/pages/index.jsp?uREC_ID=421224&type=d,0,,not archived,0
robots,Barbara Goleman Senior High,https://www.barbaragolemansenior.com/apps/pages/index.jsp?uREC_ID=573396&type=d&pREC_ID=1139551,0,,not archived,0
robots,Westland Hialeah Senior High,https://westlandwildcats.net/apps/pages/index.jsp?uREC_ID=401152&type=d,0,,not archived,0
robots,Dr. Michael M. Krop Senior High,https://kropseniorhigh.org/apps/pages/index.jsp?uREC_ID=216571&type=d&pREC_ID=477736,0,,not archived,0
robots,Miami Lakes Educational Center,https://www.mlecshs.com/apps/pages/index.jsp?uREC_ID=397619&type=d,0,,not archived,0
robots,TERRA Environmental Research Institute,https://www.terrawolves.com/apps/pages/index.jsp?uREC_ID=241582&type=d&pREC_ID=468925,0,,not archived,0
robots,William H. Turner Technical Arts High,https://www.turnertech-eagles.com/college-advising-program,0,,not archived,0
robots,Arthur and Polly Mays Conservatory of the,https://www.apmays.org/apps/pages/index.jsp?uREC_ID=562936&type=d,0,,not archived,0
robots,Miami Senior High,https://www.miamiseniorhigh.org/m/pages/index.jsp?uREC_ID=339275&type=d&pREC_ID=660976,0,,not archived,0
robots,Christopher Columbus High School,https://www.columbushs.com/college-counseling,0,,not archived,0
robots,Saint Brendan High School,https://www.stbrendanhigh.org/academics/guidance-and-college-advising,0,,not archived,0
robots,Carrollton School of the Sacred Heart,https://www.carrollton.org/academics/collegecounseling,8,20240725,AVAILABLE - not fetched (robots),0
robots,Women at the Well Broward scholarships,https://watwbroward.org/scholarships/,0,,not archived,0
robots,St Thomas Aquinas HS college advising,https://www.aquinas-sta.org/academics/college-advising,0,,not archived,0
robots,Cardinal Gibbons HS counseling,https://www.cghsfl.org/academics/guidance,0,,not archived,0
robots,Park Vista Community High School bulletin,https://pvhs.palmbeachschools.org/cms/One.aspx?portalId=1933645&pageId=5545222,0,,not archived,0
robots,Education Foundation of Palm Beach County,https://educationfoundationpbc.org/Scholarships/,8,20240728,AVAILABLE - not fetched (robots),0
robots,Viner Scholars,https://vinerscholars.org/scholarship-program/,0,,not archived,0
robots,Hillsborough Education Foundation,https://educationfoundation.com/resource/senior-scholarships/,0,,not archived,0
robots,LEAP Tampa Bay College Access Network,https://leaptampabay.org/scholarships/,8,20241016,AVAILABLE - not fetched (robots),0
robots,Pinellas Education Foundation,https://pinellaseducation.org/,8,20250903,AVAILABLE - not fetched (robots),0
robots,Pasco Education Foundation,https://www.pascoeducationfoundation.org/,0,,not archived,0
robots,Florida College Access Network,https://floridacollegeaccess.org/initiatives/local-scholarship-resources/,0,,not archived,0
