verdict,confidence,name,sponsor,amount_min,amount_max,num_awards,deadline,opens,gpa_min,gpa_scale,gender,military_affiliation,employer_affiliation,income_max,renewal_years,recommendation_letters,beneficiary_scope,geo_scope,estimated_effort_minutes,need_based,merit_based,first_generation,disability,residency_required,renewable,essay_required,transcript_required,fafsa_required,counties,cities,high_schools,majors,activities,clubs_organizations,college_plan,citizenship,heritage,class_year,enrollment_status,destination_institutions,eligibility_raw,name_before_enrichment,source_url,source_org,source_county,source_file
award,0.85,Manes Fine Arts Award,Manes Peace Prize Foundation,5000,5000,,,,,,,,,,,,nomination_only,county,,,True,,,,,,,,"[""Nassau County""]",[],[],[],"[""art""]",[],[],[],[],[],[],"[""Nassau County Museum of Art""]","Manes Fine Arts Award) for a work of art (painting, drawing, sculpture) that they have created. Each participating high school in Nassau County should pick 3 art students to receive the award. Your art department can decide how to pick the winning students. I suggest the awards be given during the time other awards are presented, possibly at graduation. In addition, the winners will then have their work of art displayed at the Nassau County Museum of Art and participate in another opportunity to win a $5000 scholarship in a juried exhibition at the Museum. Please let me know if your school would like to participate in this new and exciting awards program that will be offered on a annual basis for young artists. Sincerely yours, Harvey R. Manes, M.D., Esq. President The Nassau County Museum of Art received&#8230; to renovate a 1920 building belonging to the Frick family that was in severe disrepair in order to create the Manes Art and Education Center. The Manes Center, named in recognition of Dr. Harvey Manes’s $1 million gift, offers a dynamic and inspiring environment in which audiences of all ages and abilities can find creative engagement through a variety of activities and projects. The following institutions or individuals were recipients of the MAPP since 2012 SPIRIT OF HUNTINGTON ART CENTER THE AMERICAN HEART ASSOCIATION THE JEWISH MUSEUM THE GLOBAL INSTITUTE BARAT FOUNDATION GUARDIAN ANGELS TOWN OF HUNTINGTON FOR THE CRIPPEN HOUSE KULANU FOUNDATION ST. FRANCIS FOOD PANTRY RETIRED SENIORS VOLUNTEER PROGRAM (RSVP) KULANU FOUNDATION LIFESWORC ORG RABBI ANCHELLE PERL DIRECTOR CHABAD ORG UNITED METHODIST CHURCH THRIFT SHOP CHANUKATHON AMERICAN AUTISM FOUNDATION PINK TIE CANCER FOUNDATION VILLAGE OF LINDENHURST STUDIO THEATER IN LINDENHURST BEAUTIFY EARTH FOUNDATION WOODSTOCK MUSEUM JEWISH MUSEUM HOPE FOR THE FUTURE MINISTRIES SHAMAN DAVID CLOUD YANTAHO FOUNDATION CLARK BOTANIC GARDENS CRIME STOPPERS OF SUFFOLK COUNTY CURTIS SLIWA/GUARDIAN ANGELS N.Y. AGAINST GUN VIOLENCE NASSAU COUNTY MUSEUM OF ART THE GLOBAL INSTITUTE LONG BEACH HUMANE SOCIETY PRAGER UNIVERSITY THE MANES CONSERVATORY AT BETHEL WOODS BOARD OF TRUSTEES Dr. Harvey Manes, M.D. President Joshua",Manes Fine Arts Award,https://manespeaceprize.com,Manes Peace Prize Foundation,Palm Beach,palm-beach--manes-peace-prize-foundation.txt
award,0.95,Minority Teacher Education Scholarship,FFMT (Florida Future Minority Teachers),4000,4000,,08/01,,,,,,,,,,open,state,,,,,,True,,,,,[],[],[],"[""Education""]",[],[],[],[],"[""African American/Black"", ""Hispanic"", ""Latinx"", ""Asian American"", ""Pacific Islander"", ""American Indian"", ""Alaskan Native""]","[""junior"", ""senior"", ""graduate student""]","[""admitted into a state-approved teacher education program""]",[],"CAP Scholarship Scholarship 1 August 2 Name Amount Awarded Deadline Requirements 3 College Board Big Future Scholarship If you are an eligible $500 scholarship and an additional chance to win a $40,000 scholarship. (50) 4 Minority Teacher Education Scholarship (Fall Semester) $4,000 08/01 - Resident of FL and African American/Black, Hispanic, Latinx, Asian American, Pacific Islander, American Indian, or Alaskan Native. - Be admitted into a state-approved teacher education program at any of FFMT&#39;s participating universities/colleges. - Be a junior, senior, or a graduate student and have not earned a baccalaureate degree in Education. You may have earned a baccalaureate degree in a field outside of Education. A graduate student must be enrolled in a program that leads to initial teacher certification. - Have earned 60 credit hours or an AA degree. - Have not exceeded 18 credit hours of upper division education courses. 5 Dave Davis Memorial Scholarship",Minority Teacher Education Scholarship,https://docs.google.com/spreadsheets/d/1C9ZsFZuyayosJvdKzUGmk7kDhGeGCI0o43RFegJTmhA/edit?usp=sharing,Alonzo and Tracy Mourning Senior High — /cap-corner/ - CAP Scholarship Bulletin,Miami-Dade,miami-dade--alonzo-and-tracy-mourning-senior-high-cap-corner-cap-scholar.txt
award,0.95,Southern Scholarship Foundation Scholarship,Southern Scholarship Foundation,10000,12000,150,,year-round,3.0,4.0,,,,,,,open,state,,True,True,,,,,,,True,[],[],[],[],[],[],"[""Florida State University"", ""Florida A & M University"", ""University of Florida"", ""Florida Gulf Coast University"", ""Tallahassee Community College"", ""Santa Fe College""]",[],[],[],[],"[""Florida State University"", ""Florida A & M University"", ""University of Florida"", ""Florida Gulf Coast University"", ""Tallahassee Community College"", ""Santa Fe College""]","Southern Scholarship Foundation provides scholarship opportunities for students attending or planning to attend: Florida State University, Florida A &amp; M University, University of Florida, Florida Gulf Coast University, Tallahassee Community College, and Santa Fe College SSF provides rent-free scholarship housing for qualified students demonstrating academic achievement (with a minimum 3.0 cumulative GPA), financial need (as identified on the FAFSA), and good character. With our scholarship, students save $10,000 &#8211; $12,000 per year. We have 26 scholarship houses throughout the state of Florida and are looking to extend our recruitment efforts. For Fall 2016, we are expecting to award roughly 150 scholarships (over 1 million dollars in scholarships) for our scholarships houses. We have attached our recruitment flyer in hopes that you can share it with any eligible students you may know. We accept applications year-round… The sooner students submit a completed application, the better! Please spread the word to students, department chairs, co-workers, etc. Our website is also a great source for information: www.southernscholarship.org . Should you have any questions or concerns, please, feel free to contact us. Senior High 13110 NE 8th Avenue, North Miami, FL 33161 Phone: (305) 891-6590 Fax: (305) 895-1788 Copyright © 2026 North Miami Senior High. All Rights Reserved",Southern Scholarship,https://nmshpioneers.org/financial-aid/,North Miami Senior High — /financial-aid/,Miami-Dade,miami-dade--north-miami-senior-high-financial-aid.txt
award,0.92,Application Deadline Has Passed Scholarship,Alliance Of Women Executives Inc,,,,"April 28, 2026",,3.0,4.0,female,,,,,1,open,county,120,,True,,,True,,True,True,,"[""Palm Beach County""]",[],[],[],[],[],"[""Florida Atlantic University"", ""Lynn University"", ""Palm Beach Atlantic University"", ""Palm Beach State College""]",[],[],[],[],"[""Florida Atlantic University"", ""Lynn University"", ""Palm Beach Atlantic University"", ""Palm Beach State College""]","Application Deadline Has Passed Scholarship Requirements All applicants must: Be a young woman graduating from a Palm Beach County high school Have a minimum unweighted 3.0 GPA Documents to be uploaded with your application: A recommendation letter from a high school teacher or guidance counselor The first page of current high school transcript An acceptance letter from Florida Atlantic University, Lynn University, Palm Beach Atlantic University or Palm Beach State College Complete the Scholarship Application below. Submit a 500 – 1000 word essay on the following topic: Why are you deserving of an AWE scholarship? (Please refrain from using AI) Recipients must be present at the Awards Ceremony on April 28, 2026 at 5:00 pm at Wycliffe Golf &amp; Country Club – 4650 Wycliffe Country Club Blvd, Wellington, FL 33449 to receive their awards. Follow",Application Deadline Has Passed Scholarship,https://www.aweinc.org/scholarship/,Alliance Of Women Executives Inc - Scholarship,,alliance-of-women-executives-inc-scholarship.txt
award,0.95,One Scholarship at a Time,Alliance Of Women Executives Inc,1500,1500,,,,,,female,,,,,,open,county,,,,,,True,,,,,"[""Palm Beach County""]",[],[],[],[],[],"[""select local colleges""]",[],[],"[""high school senior""]",[],[],"One Scholarship at a Time Fuel Her Future Each academic scholarship of $1500 is funded by donations from individuals, businesses and foundations. DONATE NOW Take the Next Step AWE awards scholarships to young women graduating from Palm Beach County high schools who attend select local colleges. Apply for a Scholarship Lead with Purpose Connect with people in a meaningful way while making an impact on future generations of young women. Become a Member AWE provides a platform to bring individuals together, united in sharing knowledge and experiences, while at the same time giving back to young women in Palm Beach County through academic scholarships. AWE is a member based 501(c)(3) founded in 2016. Learn More Our Impact 0 scholarships awarded to date 0 high schools represented 0 first-generation college students Get Involved Her Story, Our Mission In Her Own Words My name is Jocelyn &#8211; I am a senior at John I Leonard High School and will attend Palm Beach Atlantic University to major in Elementary Education. During my four years of high school I challenged myself by enrolling in AP and AICE college level classes to prepare me for college. read More Conversations that Create Community AWE Networking Lunch Each month AWE members come together to connect, exchange experiences, and develop professional relationships. Join us for lunch and enjoy meaningful conversation in a welcoming community. Learn More Why We Give: Christina Joseph 2024 Scholarship Recipient - Winner First 2",One Scholarship,https://www.aweinc.org,Alliance Of Women Executives Inc,,alliance-of-women-executives-inc.txt
award,0.85,Winners Scholarship,Education Foundation of Palm Beach County,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],"Winners Scholarship, the money will be held in a special account through the Education Foundation of Palm Beach County, Inc. Upon entry into college, please contact the Education Foundation and a check for $1,000 (plus any accrued interest) will be available for use at an approved college or vocational program. The scholarship must be used before the student’s 21st birthday. How Do I Redeem the Scholarship Please contact Sam Pasley at Info@EducationFoundationPBC.org or 561-340-3501 to have the scholarship activated at the student’s approved college/university/vocational school. Congratulations to the Recipients of the",Winners Scholarship,https://educationfoundationpbc.org/scholarships/,Education Foundation of Palm Beach County - Scholarships,,education-foundation-of-palm-beach-county-scholarships.txt
award,0.95,Uppaluri Family Foundation Scholarship,"Junior League of Miami, Inc.",3000,9000,1,,,,,female,,,,3,,open,county,,,True,,,,True,,,,"[""Miami-Dade""]",[],[],[],"[""community service""]",[],[],[],[],"[""senior""]","[""high school senior""]",[],"Scholarly Awards Recognizing young women in the Miami-Dade community for their superior community service involvement and academic achievements. PROGRAM OVERVIEW The Junior League of Miami, Inc. is proud to administer four scholarships, awarded annually, to female high school seniors in Miami-Dade County Public Schools AVAILABLE SCHOLARSHIPS THE UPPALURI FAMILY FOUNDATION SCHOLARSHIP Established in 2015, this scholarship is funded by Mr. and Mrs. Uppaluri, who came to the United States to further their education and want to give back to the community that gave them so much. Mr. and Mrs. Uppaluri strongly believe that the opportunity to get a higher education is a privilege and want to give this opportunity to hard-working students in the Miami-Dade Public School System. The scholarship will be presented annually to one (1) female high school senior in the Miami-Dade County Public School system, with the possibility of receiving further funding for three consecutive years upon reapplication and continuing to meet all eligibility requirements. Award Amount: $9,000 provided in the following manner: • Year 1: $3,000 • Year 2 – 4: Additional $2,000/year (annual re-application required) THE KATHRYN MENKE MILLER SCHOLARSHIP Established in 1985, this scholarship is given in memory of one of our members, Kathryn Menke Miller. Kathryn was the “epitome of a hardworking, caring, and loving volunteer.” Her greatest accomplishments were assisting our community’s children and her dedication to our public education system. This scholarship is presented annually to two (2) female high school seniors in the",Scholarly Awards,https://www.jlmiami.org/community/community-awards/junior-league-of-miami-scholarship/,Junior League Of Miami Foundation Inc - Scholarly Awards,,junior-league-of-miami-foundation-inc-scholarly-awards.txt
award,0.95,Miami Scholarship,Junior League of Miami Foundation Inc,,,,"December 12, 2025",,3.0,4.0,female,,,,,1,open,county,90,,True,,,True,,,,True,"[""Miami-Dade County""]",[],[],[],"[""community service""]",[],[],[],[],"[""graduating senior""]","[""enrolling for at least 6 semester credit hours at an accredited institution for Fall semester immediately following high school graduation""]",[],"Miami Scholarship, the recipient will be expected to attend a recognition ceremony as a guest of honor. Additional details regarding the scholarship presentation will be made available as needed. Nomination Form Community Service Supervisor Recommendation Form SCHOLAR ELIGIBILITY To be considered for a Junior League of Miami scholarship, a scholar must: • be a South Florida resident and graduating female senior at a Miami-Dade County public school (including charter schools). • have a minimum 3.0 GPA and 3.0 conduct average. • demonstrate significant commitment and contributions to the local community • earn a standard Florida high school diploma or its equivalent • enroll for at least 6 semester credit hours (or the equivalent in quarters) at an accredited institution for the Fall semester immediately following high school graduation. • complete the Florida Financial Aid Application by high school graduation • not have been convicted of a crime DATES &amp; DEADLINES All application materials must be submitted by 5:00 p.m. on Friday, December 12, 2025 . Late applications and references will not be accepted. Finalist virtual interviews will take place January 2026 . Award decisions will be announced February 2026 . For questions or additional information on The Junior League of",Miami Scholarship,https://www.jlmiami.org/community/community-awards/junior-league-of-miami-scholarship/,Junior League Of Miami Foundation Inc - Scholarly Awards,,junior-league-of-miami-foundation-inc-scholarly-awards.txt
award,0.95,Advocacy Scholarships,Junior League of the Palm Beaches,2500,2500,,3/13/27,,,,female,,,,,,open,county,180,,,,,True,,,,,"[""Palm Beach County""]",[],[],[],"[""volunteering""]",[],"[""attending college in the fall""]",[],[],"[""high school senior""]","[""graduating high school"", ""will be attending college in the fall""]",[],"Grant Request Support Scholarships Advocacy Scholarships Every year, the Junior League of the Palm Beaches offers a $2,500 scholarship to an individual who will be graduating high school and will be attending college in the fall. To be eligible, this individual should currently be volunteering outside the school and be someone who has demonstrated a commitment to: 1. Promoting voluntarism 2. Developing the potential of others 3. Improving the community through volunteering Female high school seniors are encouraged to submit applications to be considered for this scholarship. We are currently seeking applications for our 2027 high school scholarship. This year&#8217;s applicants must be young women in their senior year who reside in Palm Beach County. Individuals related to JLPB members are not eligible to apply. Applications are due 3/13/27 by midnight , applicants will be notified on 4/2/26 if they were selected for the next round, which includes an in person interview at our headquarters on the evening of 4/23/27. No additional dates for interviews will be available. Applications can be submitted here . --> Junior League of the Palm Beaches, Inc. 470 Columbia Drive, Bldg. F West Palm Beach, FL 33409 Ph: 561.689.7590 Contact Us Copyright &copy; 2010, 2026",Grant Request Support Scholarships Advocacy Scholarships,https://www.jlpb.org/community/scholarships/,Junior League Of The Palm Beaches Inc - Scholarships,,junior-league-of-the-palm-beaches-inc-scholarships.txt
award,0.85,College Scholarship,Kiwanis Club of Jupiter-Tequesta,,,,JUNE 1st,,,,,,,,,,open,city,180,True,,,,,,True,,,[],"[""Tequesta""]",[],[],"[""community activities""]",[],[],[],[],[],[],[],"College Scholarship Application (cont’d) Kiwanis Club of Jupiter-Tequesta SCHOOL ACTIVITIES OTHER SCHOOLS ATTENDED SCHOLASTIC / HONORS DATE 1. 2. DATE DATE 3. HONOR SOCIETIES EXTRA CURRICULA ACTIVITY COMMUNITY ACTIVITIES IMPORTANT:  PLEASE ATTACH AN ESSAY (200 WORDS OR LESS) ENTITLED “WHY I NEED THIS SCHOLARSHIP”  PLEASE ATTACH A SECOND ESSAY (200 WORDS OR LESS) DETAILING YOUR PARTICIPATION IN COMMUNITY ACTIVITIES I HEREBY CERTIFY THAT ALL STATEMENTS THAT I HAVE MADE HEREIN ARE CORRECT. SIGNATURE OF APPLICANT SIGNATURE OF PARENT DATE *COMPLETED APPLICATION MUST BE POSTMARKED BY JUNE 1st PLEASE MAIL TO: Kiwanis Club of Jupiter -Tequesta P.O. Box 4144 Tequesta, FL 33469-4144 Page 2 of 2",College Scholarship,https://clubrunner.blob.core.windows.net/00000101900/en-us/files/homepage/scholarship-application/2023v4_Kiwanis-College-ScholarshipFORM.pdf,Kiwanis Club Of Jupiter-Tequesta - Scholarship Application,,kiwanis-club-of-jupiter-tequesta-scholarship-application.txt
award,0.95,Thomas Brown McClelland Scholarship,Rotary Club of Miami,,,,June 20,,,,,,,,,,open,county,,,,,,True,True,,,,"[""Miami-Dade""]",[],[],[],[],[],"[""medical school""]",[],[],[],"[""first year"", ""second year"", ""third year""]",[],"Distinguished Citizen Award 2026-2027 TBM Letter & Checklist 2026-2027 fields TBM Application 2026-2027 TBM Final Instructions 2026-2027 IRS W-9 Form FIU HWCOM 10 Year Tribute to RCOM-TBM TBM Newsletter June 2026 Gallery Related Page Subpages Welcome Thomas Brown McClelland was a professional horticulturalist who worked for the USDA. He joined the Rotary Club of Miami in 1939 and was an active member until his death in 1980. In his will, Mr. McClelland endowed a scholarship fund for medical school students. The initial bequest was $2.5 million. Through careful management by the trustees, the principal has grown to over $5 million. Using the income from the fund, the Rotary Club of Miami has awarded over 1,000 scholarships totaling more than $5.5 million to medical school students that graduated from a Miami-Dade County high school. Besides financial management of the trust, Rotary Club of Miami members continue to evaluate applications, conduct interviews and recommend awardees. The time and effort required to fulfill the obligation and responsibility left to the club is significant. But, every member that has participated in the process has really enjoyed it. It is very satisfying to meet and help so many incredibly bright medical school students. Medical school students who graduated from a high school in Miami-Dade County are encouraged to apply. The high school can be public or private. The students can be recently accepted and starting their first year, or they can be beginning their second or third year. Candidates can apply all three years of medical school regardless of whether they have been awarded previously. If you qualify, please complete an application. Edit this page Powered by ClubRunner &copy; 2002&ndash;2026 Requirements",Distinguished Citizen Award,https://miamirotary.org/sitepage/thomas-brown-mcclelland-scholarship-fund,Rotary Club Of Miami - History of TBM,,rotary-club-of-miami-history-of-tbm.txt
