priority,score,name,display_name,chapter_resolved,search_query,city,county,ein,assets,revenue,ntee,files_990pf,signals,verified,has_website,program_url,award_amount,deadline,eligibility,apply_via,platform,beneficiary_scope,notes
A,113,BRADLEY MARC GINSBURG SCHOLARSHIP FOUNDATION CORP,BRADLEY MARC GINSBURG SCHOLARSHIP FOUNDATION CORP,,"""BRADLEY MARC GINSBURG SCHOLARSHIP FOUNDATION CORP"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,272291126,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,WELLINGTON N GILBERT SCHOLARSHIP FOUNDATION INC,WELLINGTON N GILBERT SCHOLARSHIP FOUNDATION INC,,"""WELLINGTON N GILBERT SCHOLARSHIP FOUNDATION INC"" Hialeah FL scholarship application",Hialeah,Miami-Dade,454123036,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,MIAMI-DADE COUNTY FAIR SCHOLARSHIP FOUNDATION INC,MIAMI-DADE COUNTY FAIR SCHOLARSHIP FOUNDATION INC,,"""MIAMI-DADE COUNTY FAIR SCHOLARSHIP FOUNDATION INC"" Miami FL scholarship application",Miami,Miami-Dade,472468576,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,FIVE STAR SCHOLARSHIP FOUNDATION,FIVE STAR SCHOLARSHIP FOUNDATION,,"""FIVE STAR SCHOLARSHIP FOUNDATION"" Lake Worth FL scholarship application",Lake Worth,Palm Beach,473434658,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,ASSOCIATION OF CUBAN ENGINEERS SCHOLARSHIP FOUNDATION,ASSOCIATION OF CUBAN ENGINEERS SCHOLARSHIP FOUNDATION,,"""ASSOCIATION OF CUBAN ENGINEERS SCHOLARSHIP FOUNDATION"" Coral Gables FL scholarship application",Coral Gables,Miami-Dade,650974344,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,COMMON KNOWLEDGE SCHOLARSHIP FOUNDATION INC,COMMON KNOWLEDGE SCHOLARSHIP FOUNDATION INC,,"""COMMON KNOWLEDGE SCHOLARSHIP FOUNDATION INC"" Davie FL scholarship application",Davie,Broward,651101565,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,110,COSTA FARMS SCHOLARSHIP FOUNDATION INC,COSTA FARMS SCHOLARSHIP FOUNDATION INC,,"""COSTA FARMS SCHOLARSHIP FOUNDATION INC"" Miami FL scholarship application",Miami,Miami-Dade,273586135,40712,0,T20,Y,name:scholarship;ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,,,,,,,,,,
A,108,UNITED STATES VIRGIN ISLANDS ACADEMIC SCHOLARSHIP FUND INC,UNITED STATES VIRGIN ISLANDS ACADEMIC SCHOLARSHIP FUND INC,,"""UNITED STATES VIRGIN ISLANDS ACADEMIC SCHOLARSHIP FUND INC"" Miami Beach FL scholarship application",Miami Beach,Miami-Dade,661113939,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82;name:education,,,,,,,,,,
A,108,STUDENT DIRECT SCHOLARSHIP CORPORATION,STUDENT DIRECT SCHOLARSHIP CORPORATION,,"""STUDENT DIRECT SCHOLARSHIP CORPORATION"" Plantation FL scholarship application",Plantation,Broward,743224758,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82;name:education,,,,,,,,,,
A,105,DIANA ROBERTS MEMORIAL SCHOLARSHIP FUND,DIANA ROBERTS MEMORIAL SCHOLARSHIP FUND,,"""DIANA ROBERTS MEMORIAL SCHOLARSHIP FUND"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,133674048,50914,0,Z99Z,Y,name:scholarship;name:memorial-fund;files-990PF;private-foundation:04,,,,,,,,,,
A,103,COUNTRY CLUB OF FLORIDA SCHOLARSHIP FOUNDTION INC,COUNTRY CLUB OF FLORIDA SCHOLARSHIP FOUNDTION INC,,"""COUNTRY CLUB OF FLORIDA SCHOLARSHIP FOUNDTION INC"" Boynton Beach FL scholarship application",Boynton Beach,Palm Beach,201191301,673564,259691,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,CHRIS HIXON ATHLETIC SCHOLARSHIP FUND,CHRIS HIXON ATHLETIC SCHOLARSHIP FUND,,"""CHRIS HIXON ATHLETIC SCHOLARSHIP FUND"" Hollywood FL scholarship application",Hollywood,Broward,824965743,352202,57660,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,FOUNTAIN ENDOWED LEGACY SCHOLARSHIP FUND,FOUNTAIN ENDOWED LEGACY SCHOLARSHIP FUND,,"""FOUNTAIN ENDOWED LEGACY SCHOLARSHIP FUND"" Miramar FL scholarship application",Miramar,Broward,872586675,251010,21405,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,I THINK COMMUNITY FOUNDATION INC,I THINK COMMUNITY FOUNDATION INC,,"""I THINK COMMUNITY FOUNDATION INC"" Delray Beach FL scholarship application",Delray Beach,Palm Beach,352550107,138386,246044,B82,,ntee:B82;name:community-foundation;name:foundation;ntee-education:B82,,,,,,,,,,
A,103,TEAMSTERS LOCAL UNION 769 SCHOLARSHIP FUND GOLF TOURNMENT,TEAMSTERS LOCAL UNION 769 SCHOLARSHIP FUND GOLF TOURNMENT,,"""TEAMSTERS LOCAL UNION 769 SCHOLARSHIP FUND GOLF TOURNMENT"" North Miami FL scholarship application",North Miami,Miami-Dade,264740627,81543,41608,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,THE LOUIE BING ATHLETIC SCHOLARSHIP FUND INC,THE LOUIE BING ATHLETIC SCHOLARSHIP FUND INC,,"""THE LOUIE BING ATHLETIC SCHOLARSHIP FUND INC"" Miami FL scholarship application",Miami,Miami-Dade,650745873,42111,13599,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,SCHOLARSHIP PLUG INC,SCHOLARSHIP PLUG INC,,"""SCHOLARSHIP PLUG INC"" Lauderhill FL scholarship application",Lauderhill,Broward,872110289,14698,140341,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,ETHAN H FREED WINADU SCHOLARSHIPFUND INC,ETHAN H FREED WINADU SCHOLARSHIPFUND INC,,"""ETHAN H FREED WINADU SCHOLARSHIPFUND INC"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,208827929,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,DOLORES & DANIEL MANGIERO SCHOLARSHIP FUND,DOLORES & DANIEL MANGIERO SCHOLARSHIP FUND,,"""DOLORES & DANIEL MANGIERO SCHOLARSHIP FUND"" Plantation FL scholarship application",Plantation,Broward,270581032,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,MEGAN F DURTSCHI MEMORIAL SCHOLARSHIP INC,MEGAN F DURTSCHI MEMORIAL SCHOLARSHIP INC,,"""MEGAN F DURTSCHI MEMORIAL SCHOLARSHIP INC"" Wellington FL scholarship application",Wellington,Palm Beach,320304957,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,ESTUDIANTE QUE PROGRESA SCHOLARSHIP INC,ESTUDIANTE QUE PROGRESA SCHOLARSHIP INC,,"""ESTUDIANTE QUE PROGRESA SCHOLARSHIP INC"" Hialeah FL scholarship application",Hialeah,Miami-Dade,334664167,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,SCHOLARS TODAY LEADERS OF TOMORROW INC,SCHOLARS TODAY LEADERS OF TOMORROW INC,,"""SCHOLARS TODAY LEADERS OF TOMORROW INC"" North Miami FL scholarship application",North Miami,Miami-Dade,412198259,0,2566,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,NEXTGEN CYBER SCHOLARS INC,NEXTGEN CYBER SCHOLARS INC,,"""NEXTGEN CYBER SCHOLARS INC"" Miami FL scholarship application",Miami,Miami-Dade,421896533,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,MAMA SCHOLARSHIP PROGRAM INC,MAMA SCHOLARSHIP PROGRAM INC,,"""MAMA SCHOLARSHIP PROGRAM INC"" Southwest Ranches FL scholarship application",Southwest Ranches,Broward,450584693,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,THE MICHAEL W PROSCIA-IATSE LOCAL 477 SCHOLARSHIP INC,THE MICHAEL W PROSCIA-IATSE LOCAL 477 SCHOLARSHIP INC,,"""THE MICHAEL W PROSCIA-IATSE LOCAL 477 SCHOLARSHIP INC"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,452731864,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,NICHOLAS J COSTELLO DANIA LIONS SCHOLARSHIP FUND INC,NICHOLAS J COSTELLO DANIA LIONS SCHOLARSHIP FUND INC,,"""NICHOLAS J COSTELLO DANIA LIONS SCHOLARSHIP FUND INC"" Hollywood FL scholarship application",Hollywood,Broward,462441514,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,KFHA OPERATION TURNAROUND SCHOLARSHIP INITIATIVE INC,KFHA OPERATION TURNAROUND SCHOLARSHIP INITIATIVE INC,,"""KFHA OPERATION TURNAROUND SCHOLARSHIP INITIATIVE INC"" Miami FL scholarship application",Miami,Miami-Dade,650421411,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,HELEN MARIE WITTY MEMORIAL SCHOLARSHIP INC,HELEN MARIE WITTY MEMORIAL SCHOLARSHIP INC,,"""HELEN MARIE WITTY MEMORIAL SCHOLARSHIP INC"" Pinecrest FL scholarship application",Pinecrest,Miami-Dade,651128495,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,MIRAMAR-PEMBROKE PINES REGIONAL CHAMBER OF COMMERCE SCHOLARSHIP FD,MIRAMAR-PEMBROKE PINES REGIONAL CHAMBER OF COMMERCE SCHOLARSHIP FD,,"""MIRAMAR-PEMBROKE PINES REGIONAL CHAMBER OF COMMERCE SCHOLARSHIP FD"" Pembroke Pines FL scholarship application",Pembroke Pines,Broward,710910422,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,JOSEPHINE STAGGERS WATERMAN SCHOLARSHIP INC,JOSEPHINE STAGGERS WATERMAN SCHOLARSHIP INC,,"""JOSEPHINE STAGGERS WATERMAN SCHOLARSHIP INC"" Miami Gardens FL scholarship application",Miami Gardens,Miami-Dade,770619130,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,WILKIE D FERGUSON SCHOLARSHIP FUND INC,WILKIE D FERGUSON SCHOLARSHIP FUND INC,,"""WILKIE D FERGUSON SCHOLARSHIP FUND INC"" Miami FL scholarship application",Miami,Miami-Dade,810621142,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,WALTERS - BLOUNT SCHOLARSHIP FUND INC,WALTERS - BLOUNT SCHOLARSHIP FUND INC,,"""WALTERS - BLOUNT SCHOLARSHIP FUND INC"" Coral Springs FL scholarship application",Coral Springs,Broward,822276175,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,BETANCOURT SCHOLARSHIP FUND INC,BETANCOURT SCHOLARSHIP FUND INC,,"""BETANCOURT SCHOLARSHIP FUND INC"" Davie FL scholarship application",Davie,Broward,833139138,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,THOMAS W MCCORMICK SCHOLARSHIP FUND CORP,THOMAS W MCCORMICK SCHOLARSHIP FUND CORP,,"""THOMAS W MCCORMICK SCHOLARSHIP FUND CORP"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,841684810,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,PROFESSIONAL PILOT SCHOLARSHIPS OF CENTRAL FLORIDA INC,PROFESSIONAL PILOT SCHOLARSHIPS OF CENTRAL FLORIDA INC,,"""PROFESSIONAL PILOT SCHOLARSHIPS OF CENTRAL FLORIDA INC"" Boynton Beach FL scholarship application",Boynton Beach,Palm Beach,843880765,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,LEVERT RICHARDSON SR SCHOLARSHIP INC,LEVERT RICHARDSON SR SCHOLARSHIP INC,,"""LEVERT RICHARDSON SR SCHOLARSHIP INC"" Miami FL scholarship application",Miami,Miami-Dade,871036535,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,FLORIDA RETAIL SCHOLARSHIPS INC,FLORIDA RETAIL SCHOLARSHIPS INC,,"""FLORIDA RETAIL SCHOLARSHIPS INC"" Boynton Beach FL scholarship application",Boynton Beach,Palm Beach,871436382,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,NABHOOD HOSPITALITY SCHOLARSHIP FUND INC,NABHOOD HOSPITALITY SCHOLARSHIP FUND INC,,"""NABHOOD HOSPITALITY SCHOLARSHIP FUND INC"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,883754214,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,REVEREND BRIDE MOTHER BETTY J TORRENCE SCHOLARSHIP FUND INC,REVEREND BRIDE MOTHER BETTY J TORRENCE SCHOLARSHIP FUND INC,,"""REVEREND BRIDE MOTHER BETTY J TORRENCE SCHOLARSHIP FUND INC"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,900620227,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,NSE SCHOLARSHIP INC,NSE SCHOLARSHIP INC,,"""NSE SCHOLARSHIP INC"" Miami FL scholarship application",Miami,Miami-Dade,920375534,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,FJM SCHOLARSHIP,FJM SCHOLARSHIP,,"""FJM SCHOLARSHIP"" Miami Springs FL scholarship application",Miami Springs,Miami-Dade,923876585,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,LINDA E ROBINSON SCHOLARSHIP FUND INC,LINDA E ROBINSON SCHOLARSHIP FUND INC,,"""LINDA E ROBINSON SCHOLARSHIP FUND INC"" Coral Springs FL scholarship application",Coral Springs,Broward,933492331,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,TAP SCHOLARSHIP FUND INC,TAP SCHOLARSHIP FUND INC,,"""TAP SCHOLARSHIP FUND INC"" Biscayne Park FL scholarship application",Biscayne Park,Miami-Dade,992735880,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,103,JORDAN BOGANS SCHOLARSHIP FOR EMPOWERING WOMEN,JORDAN BOGANS SCHOLARSHIP FOR EMPOWERING WOMEN,,"""JORDAN BOGANS SCHOLARSHIP FOR EMPOWERING WOMEN"" Palm Beach FL scholarship application",Palm Beach,Palm Beach,995128192,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,,
A,100,MRS BETTY SIEGEL READER SCHOLARSHIP FUND,MRS BETTY SIEGEL READER SCHOLARSHIP FUND,,"""MRS BETTY SIEGEL READER SCHOLARSHIP FUND"" Miami Beach FL scholarship application",Miami Beach,Miami-Dade,271402549,8123421,0,T20,Y,name:scholarship;ntee-grantmaker:T20;files-990PF;private-foundation:04,,,,,,,,,,
A,100,DOROTHY GIRARD RESIDUAL SCHOLARSHIP TR,DOROTHY GIRARD RESIDUAL SCHOLARSHIP TR,,"""DOROTHY GIRARD RESIDUAL SCHOLARSHIP TR"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,816711710,1722898,0,T22,Y,name:scholarship;ntee-grantmaker:T22;files-990PF;private-foundation:04,,,,,,,,,,
A,100,ANQUAN AND DIONNE BOLDIN SCHOLARSHIP FUND INC,ANQUAN AND DIONNE BOLDIN SCHOLARSHIP FUND INC,,"""ANQUAN AND DIONNE BOLDIN SCHOLARSHIP FUND INC"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,475310517,898928,0,T20,Y,name:scholarship;ntee-grantmaker:T20;files-990PF;private-foundation:04,,,,,,,,,,
A,98,WILKES-DESMOND EDUCATIONAL FOUNDATION,WILKES-DESMOND EDUCATIONAL FOUNDATION,,"""WILKES-DESMOND EDUCATIONAL FOUNDATION"" West Palm Beach FL scholarship application",West Palm Beach,Palm Beach,650961676,6146712,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82;name:education,,,,,,,,,,
A,98,ALEX SCHACHTER SCHOLARSHIP FUND FOUNDATION,ALEX SCHACHTER SCHOLARSHIP FUND FOUNDATION,,"""ALEX SCHACHTER SCHOLARSHIP FUND FOUNDATION"" Coral Springs FL scholarship application",Coral Springs,Broward,824534199,136386,0,B12,Y,name:scholarship;files-990PF;private-foundation:04;name:foundation;ntee-education:B12,,,,,,,,,,
A,98,RICO S SCHOLARSHIP FOUNDATION,RICO S SCHOLARSHIP FOUNDATION,,"""RICO S SCHOLARSHIP FOUNDATION"" Wellington FL scholarship application",Wellington,Palm Beach,471106078,3450,0,B99,Y,name:scholarship;files-990PF;private-foundation:03;name:foundation;ntee-education:B99,,,,,,,,,,
A,98,LEANORA LAMBERT EDUCATION FOUNDATION,LEANORA LAMBERT EDUCATION FOUNDATION,,"""LEANORA LAMBERT EDUCATION FOUNDATION"" Miramar FL scholarship application",Miramar,Broward,922831211,2340,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82;name:education,,,,,,,,,,
A,93,JOHN S AND JAMES L KNIGHT FOUNDATION INC,JOHN S AND JAMES L KNIGHT FOUNDATION INC,,"""JOHN S AND JAMES L KNIGHT FOUNDATION INC"" Miami FL scholarship application",Miami,Miami-Dade,650464177,2533415674,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,THE SALIZZONI FAMILY FOUNDATION INC,THE SALIZZONI FAMILY FOUNDATION INC,,"""THE SALIZZONI FAMILY FOUNDATION INC"" Jupiter FL scholarship application",Jupiter,Palm Beach,650710698,5076178,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,THE LEE PERELSTINE KAGAN CHARITABLE TRUST,THE LEE PERELSTINE KAGAN CHARITABLE TRUST,,"""THE LEE PERELSTINE KAGAN CHARITABLE TRUST"" Miami FL scholarship application",Miami,Miami-Dade,656319038,3583385,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,PRIME TIME FOUNDATION INC,PRIME TIME FOUNDATION INC,,"""PRIME TIME FOUNDATION INC"" Juno Beach FL scholarship application",Juno Beach,Palm Beach,650875903,2409357,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,FRIEZO FAMILY FOUNDATION,FRIEZO FAMILY FOUNDATION,,"""FRIEZO FAMILY FOUNDATION"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,274256760,1569834,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,CHARLES R & SANDRA G HENRY FOUNDATION INC,CHARLES R & SANDRA G HENRY FOUNDATION INC,,"""CHARLES R & SANDRA G HENRY FOUNDATION INC"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,825093020,681138,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,ROTARY CLUB OF BOCA RATON SUNRISE FOUNDATION INC,ROTARY CLUB OF BOCA RATON SUNRISE FOUNDATION INC,,"""ROTARY CLUB OF BOCA RATON SUNRISE FOUNDATION INC"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,650780118,515400,146357,B82,,ntee:B82;name:service-club;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,HAROLD PLOTNEK CHARITABLE FOUNDATION INC,HAROLD PLOTNEK CHARITABLE FOUNDATION INC,,"""HAROLD PLOTNEK CHARITABLE FOUNDATION INC"" Miami FL scholarship application",Miami,Miami-Dade,263355557,493307,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,93,GARCIA FAMILY FOUNDATION INC,GARCIA FAMILY FOUNDATION INC,,"""GARCIA FAMILY FOUNDATION INC"" Doral FL scholarship application",Doral,Miami-Dade,921393398,418978,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
