priority,score,name,display_name,chapter_resolved,search_query,city,county,ein,assets,revenue,ntee,files_990pf,signals,verified,has_website,program_url,award_amount,deadline,eligibility,apply_via,platform,notes
A,113,FLCARH SCHOLARSHIP FOUNDATION INC,FLCARH SCHOLARSHIP FOUNDATION INC,,"""FLCARH SCHOLARSHIP FOUNDATION INC"" Clearwater FL scholarship application",Clearwater,Pinellas,264784058,52266,7412,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,FRANK JOHN VIGGIANO SCHOLARSHIP FOUNDATION INC,FRANK JOHN VIGGIANO SCHOLARSHIP FOUNDATION INC,,"""FRANK JOHN VIGGIANO SCHOLARSHIP FOUNDATION INC"" Sarasota FL scholarship application",Sarasota,Sarasota,273073854,14923,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,DR DAVID C COZART SR SCHOLARSHIP FOUNDATION INC,DR DAVID C COZART SR SCHOLARSHIP FOUNDATION INC,,"""DR DAVID C COZART SR SCHOLARSHIP FOUNDATION INC"" Plant City FL scholarship application",Plant City,Hillsborough,273003035,4000,1000,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,TAMPA SCHOLARSHIP FOUNDATION INC,TAMPA SCHOLARSHIP FOUNDATION INC,,"""TAMPA SCHOLARSHIP FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,474239624,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,MANATEE COUNTY BRANCH AAUW SCHOLARSHIP FOUNDATION,MANATEE COUNTY BRANCH AAUW SCHOLARSHIP FOUNDATION,,"""MANATEE COUNTY BRANCH AAUW SCHOLARSHIP FOUNDATION"" Bradenton FL scholarship application",Bradenton,Manatee,611490966,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,SUN COAST SCHOLARSHIP FOUNDATION INC,SUN COAST SCHOLARSHIP FOUNDATION INC,,"""SUN COAST SCHOLARSHIP FOUNDATION INC"" Brandon FL scholarship application",Brandon,Hillsborough,612277790,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,OM BROWN MEMORIAL SCHOLARSHIP FOUNDATION INC,OM BROWN MEMORIAL SCHOLARSHIP FOUNDATION INC,,"""OM BROWN MEMORIAL SCHOLARSHIP FOUNDATION INC"" Parrish FL scholarship application",Parrish,Manatee,872864693,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,PLAY SCHOLARSHIP FOUNDATION INC,PLAY SCHOLARSHIP FOUNDATION INC,,"""PLAY SCHOLARSHIP FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,880787871,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,STEVEN A DOERNER MEMORIAL FLIGHT SCHOLARSHIP FUND INC,STEVEN A DOERNER MEMORIAL FLIGHT SCHOLARSHIP FUND INC,,"""STEVEN A DOERNER MEMORIAL FLIGHT SCHOLARSHIP FUND INC"" Hudson FL scholarship application",Hudson,Pasco,921622129,0,0,B90,Y,name:scholarship;name:memorial-fund;files-990PF;private-foundation:04;ntee-education:B90,,,,,,,,,
A,113,GLOBAL HEALTH SCIENCES SCHOLARSHIP AND RESEARCH FOUNDATION INC,GLOBAL HEALTH SCIENCES SCHOLARSHIP AND RESEARCH FOUNDATION INC,,"""GLOBAL HEALTH SCIENCES SCHOLARSHIP AND RESEARCH FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,991461676,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,110,SUNRISE SCHOLARS FOUNDATION INC,SUNRISE SCHOLARS FOUNDATION INC,,"""SUNRISE SCHOLARS FOUNDATION INC"" Sarasota FL scholarship application",Sarasota,Sarasota,831769874,7838,0,T23,Y,name:scholarship;ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation,,,,,,,,,
A,110,ENGLEWOOD BPO ELKS SCHOLARSHIP TRUST,ENGLEWOOD BPO ELKS SCHOLARSHIP TRUST,,"""ENGLEWOOD BPO ELKS SCHOLARSHIP TRUST"" Englewood FL scholarship application",Englewood,Sarasota,596687568,1,0,,Y,name:scholarship;name:service-club;files-990PF;private-foundation:04,,,,,,,,,
A,108,VICTOR BANUELOS MEMORIAL FUND INC,VICTOR BANUELOS MEMORIAL FUND INC,,"""VICTOR BANUELOS MEMORIAL FUND INC"" Saint Petersburg FL scholarship application",Saint Petersburg,Pinellas,861702053,1,0,B82,Y,ntee:B82;name:memorial-fund;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,
A,108,RUBY LEE MINAR SOROPTIMIST MEMORIAL FUND INC,RUBY LEE MINAR SOROPTIMIST MEMORIAL FUND INC,,"""RUBY LEE MINAR SOROPTIMIST MEMORIAL FUND INC"" Brandon FL scholarship application",Brandon,Hillsborough,562036481,0,0,B82,,ntee:B82;name:service-club;name:memorial-fund;ntee-education:B82,,,,,,,,,
A,103,LAKE SEMINOLE SQUARE SCHOLARSHIP FUND INC,LAKE SEMINOLE SQUARE SCHOLARSHIP FUND INC,,"""LAKE SEMINOLE SQUARE SCHOLARSHIP FUND INC"" Seminole FL scholarship application",Seminole,Pinellas,650668965,1505842,103572,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,BILL AND MARTHA MINAHAN SCHOLARSHIP FUND INC,BILL AND MARTHA MINAHAN SCHOLARSHIP FUND INC,,"""BILL AND MARTHA MINAHAN SCHOLARSHIP FUND INC"" Tampa FL scholarship application",Tampa,Hillsborough,821969021,244441,3900,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,REGENCY OAKS SCHOLARSHIP FUND INC,REGENCY OAKS SCHOLARSHIP FUND INC,,"""REGENCY OAKS SCHOLARSHIP FUND INC"" Clearwater FL scholarship application",Clearwater,Pinellas,475568132,126304,124247,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,TEAMSTERS LOCAL 79 SCHOLARSHIP FUND INC,TEAMSTERS LOCAL 79 SCHOLARSHIP FUND INC,,"""TEAMSTERS LOCAL 79 SCHOLARSHIP FUND INC"" Tampa FL scholarship application",Tampa,Hillsborough,461046106,118092,67779,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,GTS MATT COONEY SCHOLARSHIP FUND CORP,GTS MATT COONEY SCHOLARSHIP FUND CORP,,"""GTS MATT COONEY SCHOLARSHIP FUND CORP"" Tampa FL scholarship application",Tampa,Hillsborough,824750163,17106,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,JESSICA COSTANZO SCHOLARSHIP FUND INC,JESSICA COSTANZO SCHOLARSHIP FUND INC,,"""JESSICA COSTANZO SCHOLARSHIP FUND INC"" Venice FL scholarship application",Venice,Sarasota,823580058,1482,32411,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,ST ANDREW SCOTTISH SOCIETY SCHOLARSHIP FUND INC,ST ANDREW SCOTTISH SOCIETY SCHOLARSHIP FUND INC,,"""ST ANDREW SCOTTISH SOCIETY SCHOLARSHIP FUND INC"" Sarasota FL scholarship application",Sarasota,Sarasota,043666660,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,BRIAN HAAS CRIMINAL JUSTICE SCHOLARSHIP CHARITABLE TR,BRIAN HAAS CRIMINAL JUSTICE SCHOLARSHIP CHARITABLE TR,,"""BRIAN HAAS CRIMINAL JUSTICE SCHOLARSHIP CHARITABLE TR"" Wesley Chapel FL scholarship application",Wesley Chapel,Pasco,201179358,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,MILLION DOLLAR SCHOLARS INC,MILLION DOLLAR SCHOLARS INC,,"""MILLION DOLLAR SCHOLARS INC"" Tampa FL scholarship application",Tampa,Hillsborough,208431423,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,KEITH MACCOLLOM HOOPS AND HERITAGE MEMORIAL SCHOLARSHIP INC,KEITH MACCOLLOM HOOPS AND HERITAGE MEMORIAL SCHOLARSHIP INC,,"""KEITH MACCOLLOM HOOPS AND HERITAGE MEMORIAL SCHOLARSHIP INC"" Seminole FL scholarship application",Seminole,Pinellas,270439580,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,NATE RICHARDSON BASEBALL MEMORIAL SCHOLARSHIP INC,NATE RICHARDSON BASEBALL MEMORIAL SCHOLARSHIP INC,,"""NATE RICHARDSON BASEBALL MEMORIAL SCHOLARSHIP INC"" Seminole FL scholarship application",Seminole,Pinellas,271389299,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,FREEDOM SQUARE SCHOLARSHIP FUND INC,FREEDOM SQUARE SCHOLARSHIP FUND INC,,"""FREEDOM SQUARE SCHOLARSHIP FUND INC"" Seminole FL scholarship application",Seminole,Pinellas,311690021,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,LIVE LIKE LOGAN SCHOLARSHIP CORPORATION,LIVE LIKE LOGAN SCHOLARSHIP CORPORATION,,"""LIVE LIKE LOGAN SCHOLARSHIP CORPORATION"" Land O Lakes FL scholarship application",Land O Lakes,Pasco,333551906,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,RHO OF PSI UPSILON SCHOLARSHIP FDN INC,RHO OF PSI UPSILON SCHOLARSHIP FDN INC,,"""RHO OF PSI UPSILON SCHOLARSHIP FDN INC"" Sarasota FL scholarship application",Sarasota,Sarasota,396125159,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,DOROTHY BROWN SCHOLARSHIP & COMMUNITY DEVELOPMENT FUND,DOROTHY BROWN SCHOLARSHIP & COMMUNITY DEVELOPMENT FUND,,"""DOROTHY BROWN SCHOLARSHIP & COMMUNITY DEVELOPMENT FUND"" Plant City FL scholarship application",Plant City,Hillsborough,450474017,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,HAITI SCHOLARSHIPS,HAITI SCHOLARSHIPS,,"""HAITI SCHOLARSHIPS"" Dunedin FL scholarship application",Dunedin,Pinellas,452577468,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,CHANDANNI SCHOLARSHIP FUND INC,CHANDANNI SCHOLARSHIP FUND INC,,"""CHANDANNI SCHOLARSHIP FUND INC"" Sarasota FL scholarship application",Sarasota,Sarasota,475602000,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,TAMPA BAY SURVEYING AND MAPPING SCHOLARSHIP FUND INC,TAMPA BAY SURVEYING AND MAPPING SCHOLARSHIP FUND INC,,"""TAMPA BAY SURVEYING AND MAPPING SCHOLARSHIP FUND INC"" Lutz FL scholarship application",Lutz,Hillsborough,593079696,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,IRIS AND HUBERT ALLEN SCHOLARSHIP FUND INC,IRIS AND HUBERT ALLEN SCHOLARSHIP FUND INC,,"""IRIS AND HUBERT ALLEN SCHOLARSHIP FUND INC"" Brandon FL scholarship application",Brandon,Hillsborough,593601318,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,LINDSEY MAIBACH SCHOLARSHIP FUND,LINDSEY MAIBACH SCHOLARSHIP FUND,,"""LINDSEY MAIBACH SCHOLARSHIP FUND"" Sarasota FL scholarship application",Sarasota,Sarasota,650939642,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,COLLEEN SWEENEY FOSTER SCHOLARSHIP FUND INC,COLLEEN SWEENEY FOSTER SCHOLARSHIP FUND INC,,"""COLLEEN SWEENEY FOSTER SCHOLARSHIP FUND INC"" Tampa FL scholarship application",Tampa,Hillsborough,814170928,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,EDWARD & FRANCIS BECKLEY SCHOLARSHIP FUND INC,EDWARD & FRANCIS BECKLEY SCHOLARSHIP FUND INC,,"""EDWARD & FRANCIS BECKLEY SCHOLARSHIP FUND INC"" Valrico FL scholarship application",Valrico,Hillsborough,821015915,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,NORMAN A HARRIS JR SCHOLARSHIP INC,NORMAN A HARRIS JR SCHOLARSHIP INC,,"""NORMAN A HARRIS JR SCHOLARSHIP INC"" Apollo Beach FL scholarship application",Apollo Beach,Hillsborough,832227497,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,ALPHONSO SCHOLARSHIP FUND INC,ALPHONSO SCHOLARSHIP FUND INC,,"""ALPHONSO SCHOLARSHIP FUND INC"" St Petersburg FL scholarship application",St Petersburg,Pinellas,852482731,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,AIRMAR SCHOLARSHIPS INC,AIRMAR SCHOLARSHIPS INC,,"""AIRMAR SCHOLARSHIPS INC"" St Petersburg FL scholarship application",St Petersburg,Pinellas,881805272,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,HOBSON FAMILY SCHOLARSHIP FUND CORPORATION,HOBSON FAMILY SCHOLARSHIP FUND CORPORATION,,"""HOBSON FAMILY SCHOLARSHIP FUND CORPORATION"" Largo FL scholarship application",Largo,Pinellas,883930669,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,HON J W HATCHETT SCHOLARSHIP INC,HON J W HATCHETT SCHOLARSHIP INC,,"""HON J W HATCHETT SCHOLARSHIP INC"" Tampa FL scholarship application",Tampa,Hillsborough,931408313,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,103,NGUYEN SCHOLARS INC,NGUYEN SCHOLARS INC,,"""NGUYEN SCHOLARS INC"" Tampa FL scholarship application",Tampa,Hillsborough,933969837,0,0,B82,,name:scholarship;ntee:B82;ntee-education:B82,,,,,,,,,
A,100,FRANCES W ZALOSKI SCHOLARSHIP FUND,FRANCES W ZALOSKI SCHOLARSHIP FUND,,"""FRANCES W ZALOSKI SCHOLARSHIP FUND"" Clearwater FL scholarship application",Clearwater,Pinellas,882487003,385886,0,T20,Y,name:scholarship;ntee-grantmaker:T20;files-990PF;private-foundation:04,,,,,,,,,
A,100,JOAN M DODWAY SCHOLARSHIP FUND TRUST UW,JOAN M DODWAY SCHOLARSHIP FUND TRUST UW,,"""JOAN M DODWAY SCHOLARSHIP FUND TRUST UW"" Clearwater FL scholarship application",Clearwater,Pinellas,597120241,46533,0,T20,Y,name:scholarship;ntee-grantmaker:T20;files-990PF;private-foundation:04,,,,,,,,,
A,98,RILEY FAMILY EDUCATION FOUNDATION INC,RILEY FAMILY EDUCATION FOUNDATION INC,,"""RILEY FAMILY EDUCATION FOUNDATION INC"" Dunedin FL scholarship application",Dunedin,Pinellas,264485687,3732796,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82;name:education,,,,,,,,,
A,93,VINIK FAMILY FOUNDATION,VINIK FAMILY FOUNDATION,,"""VINIK FAMILY FOUNDATION"" Tampa FL scholarship application",Tampa,Hillsborough,911917506,183309893,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,FRANCIS AND GERTRUDE LEVETT FOUNDATION,FRANCIS AND GERTRUDE LEVETT FOUNDATION,,"""FRANCIS AND GERTRUDE LEVETT FOUNDATION"" St Petersburg FL scholarship application",St Petersburg,Pinellas,593614021,28305014,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,MARY & BOB SIERRA FAMILY FOUNDATION INC,MARY & BOB SIERRA FAMILY FOUNDATION INC,,"""MARY & BOB SIERRA FAMILY FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,592846736,23132453,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,KIWANIS CLUB OF BRADENTON FOUNDATION INC,KIWANIS CLUB OF BRADENTON FOUNDATION INC,,"""KIWANIS CLUB OF BRADENTON FOUNDATION INC"" Bradenton FL scholarship application",Bradenton,Manatee,650221660,14068450,492276,B82,,ntee:B82;name:service-club;name:foundation;ntee-education:B82,,,,,,,,,
A,93,BARRETT FAMILY FOUNDATION TR,BARRETT FAMILY FOUNDATION TR,,"""BARRETT FAMILY FOUNDATION TR"" Clearwater FL scholarship application",Clearwater,Pinellas,467200163,6411155,0,B82,Y,ntee:B82;files-990PF;private-foundation:03;name:foundation;ntee-education:B82,,,,,,,,,
A,93,MAX & AL JEANE BEACH FOUNDATION INC,MAX & AL JEANE BEACH FOUNDATION INC,,"""MAX & AL JEANE BEACH FOUNDATION INC"" Clearwater FL scholarship application",Clearwater,Pinellas,202560310,1724643,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,VICTOR YOUNG FOUNDATION INC,VICTOR YOUNG FOUNDATION INC,,"""VICTOR YOUNG FOUNDATION INC"" Land O Lakes FL scholarship application",Land O Lakes,Pasco,920332226,1427590,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,EUGENE AND EVELYN BANKS FAM CHARITABLE FOUNDATION,EUGENE AND EVELYN BANKS FAM CHARITABLE FOUNDATION,,"""EUGENE AND EVELYN BANKS FAM CHARITABLE FOUNDATION"" St Petersburg FL scholarship application",St Petersburg,Pinellas,203945115,1113598,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,LARIAT FUTURE INNOVATORS FOUNDATION LLC,LARIAT FUTURE INNOVATORS FOUNDATION LLC,,"""LARIAT FUTURE INNOVATORS FOUNDATION LLC"" Sarasota FL scholarship application",Sarasota,Sarasota,844157555,977558,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,GLASGOW FOUNDATION,GLASGOW FOUNDATION,,"""GLASGOW FOUNDATION"" Bradenton FL scholarship application",Bradenton,Manatee,873628753,762408,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,THOMAS V GUARINO FAMILY FOUNDATION INC,THOMAS V GUARINO FAMILY FOUNDATION INC,,"""THOMAS V GUARINO FAMILY FOUNDATION INC"" Longboat Key FL scholarship application",Longboat Key,Sarasota,061617207,666794,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,J ERIC JORDAN CHARITABLE FOUNDATION INC,J ERIC JORDAN CHARITABLE FOUNDATION INC,,"""J ERIC JORDAN CHARITABLE FOUNDATION INC"" Largo FL scholarship application",Largo,Pinellas,272388521,560064,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,SHAH FOUNDATION INC,SHAH FOUNDATION INC,,"""SHAH FOUNDATION INC"" Wesley Chapel FL scholarship application",Wesley Chapel,Pasco,471610458,454606,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,PETER PAULSON EXCELLENT FOUNDATION INC,PETER PAULSON EXCELLENT FOUNDATION INC,,"""PETER PAULSON EXCELLENT FOUNDATION INC"" Longboat Key FL scholarship application",Longboat Key,Sarasota,863292464,281145,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,THE ATKINSREALIS FOUNDATION INC,THE ATKINSREALIS FOUNDATION INC,,"""THE ATKINSREALIS FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,204235058,207800,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,PLANT CITY ROTARY FOUNDATION INC,PLANT CITY ROTARY FOUNDATION INC,,"""PLANT CITY ROTARY FOUNDATION INC"" Plant City FL scholarship application",Plant City,Hillsborough,200085933,112852,47391,B82,,ntee:B82;name:service-club;name:foundation;ntee-education:B82,,,,,,,,,
A,93,VICTORIA STRAUSS FOUNDATION INC,VICTORIA STRAUSS FOUNDATION INC,,"""VICTORIA STRAUSS FOUNDATION INC"" Venice FL scholarship application",Venice,Sarasota,883933149,93042,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,SWADARSHAN FOUNDATION LTD,SWADARSHAN FOUNDATION LTD,,"""SWADARSHAN FOUNDATION LTD"" Tampa FL scholarship application",Tampa,Hillsborough,208925241,82395,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,THE ROTARY CLUB OF SPRING HILL FOUNDATION INC,THE ROTARY CLUB OF SPRING HILL FOUNDATION INC,,"""THE ROTARY CLUB OF SPRING HILL FOUNDATION INC"" Spring Hill FL scholarship application",Spring Hill,Pasco,593740629,61623,26773,B82,,ntee:B82;name:service-club;name:foundation;ntee-education:B82,,,,,,,,,
A,93,KOHN-BANCROFT FAMILY FOUNDATION,KOHN-BANCROFT FAMILY FOUNDATION,,"""KOHN-BANCROFT FAMILY FOUNDATION"" North Port FL scholarship application",North Port,Sarasota,383537827,17306,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,ROBERT L HOWARD FOUNDATION,ROBERT L HOWARD FOUNDATION,,"""ROBERT L HOWARD FOUNDATION"" Apollo Beach FL scholarship application",Apollo Beach,Hillsborough,933026131,16512,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,ORRIN J BUMP FOUNDATION INC,ORRIN J BUMP FOUNDATION INC,,"""ORRIN J BUMP FOUNDATION INC"" North Port FL scholarship application",North Port,Sarasota,814803789,12936,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,MINI FRIENDS FOUNDATION INC,MINI FRIENDS FOUNDATION INC,,"""MINI FRIENDS FOUNDATION INC"" Valrico FL scholarship application",Valrico,Hillsborough,922389229,11978,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,BESTFIT FOUNDATION INCORPORATED,BESTFIT FOUNDATION INCORPORATED,,"""BESTFIT FOUNDATION INCORPORATED"" Tampa FL scholarship application",Tampa,Hillsborough,830902309,3443,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,93,TYLER J PANGRAZIO FOUNDATION INC,TYLER J PANGRAZIO FOUNDATION INC,,"""TYLER J PANGRAZIO FOUNDATION INC"" Ruskin FL scholarship application",Ruskin,Hillsborough,472211330,2176,0,B82,Y,ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
